Team,Wins,Loses,Ties,Passing Yards per game,Rushing Yards per game,Points Earned per game,Points Concieded per game,Sacks per game,Interceptions per game,Total Touchdowns per game,Safetys per game,Field Goals per game
Dallas Cowboys,6,6,0,305.2,127.6,25.8,19.7,2.66,0.33,3,0,1.58
Baltimore Ravens,10,2,0,212.9,207.8,33.8,18.3,2.25,0.91,4.08,0,1.83
Seattle Seahawks,10,2,0,246.6,142.7,27.4,24.4,1.91,0.91,3.33,0,1.5
Kansis City Chiefs,8,4,0,290.2,94.5,29,22.1,2.83,1,3.25,0,2.08
Tampa Bay Buccaneers,5,7,0,284.2,96.3,28.3,28.8,2.75,0.75,3.25,0,1.91
Minnesota Vikings,8,4,0,239.5,137.1,26.6,20.2,2.75,0.91,3.25,0.08,1.33
San Francisco 49ers,10,2,0,230,148,29.1,15.3,3.75,0.91,3.41,0,1.75
Detroit Lions,3,8,1,271.7,105.6,23.3,26.3,2,0.41,2.58,0,1.83
Houston Texans,8,4,0,243,129.8,24.4,22.6,2.08,0.5,3,0,1.25
Los Angeles Rams,7,5,0,275.4,94.2,23.6,20.8,3.16,0.66,2.58,0.08,1.83
Atlanta Falcons,3,9,0,295.2,74.3,21.7,26.9,1.5,0.66,2.41,0,1.75
Los Angeles Chargers,4,8,0,275.4,94.2,23.6,20.1,2.08,0.75,2.08,0,1.91
New Orleans Saints,10,2,0,254.1,107.3,24.8,20.7,3.33,0.83,2.58,0.08,2.25
New England Patriots,10,2,0,264.4,96.3,26.8,12.1,3.33,1.66,3.16,0.08,1.66
Jacksonville Jaguars,4,8,0,246,113.4,18.3,24.3,3.16,0.66,1.75,0,2.08
Oakland Raiders,6,6,0,232.1,122.7,19.8,27,2.25,0.66,2.41,0,1
Buffalo Bills,9,3,0,215.1,137.9,21.4,15.7,3.08,0.66,2.5,0.08,1.25
Cleveland Browns,5,7,0,225.3,122.7,20.5,22.7,2.91,0.91,2.25,0,1.66
Indianapolis Colts,6,6,0,204.8,139,21.8,21.4,2.66,0.66,2.5,0.16,1.41
Philidephia Eagles,5,7,0,223.6,118.8,22.8,23.7,2.83,0.83,2.66,0,1.41
Carolina Panthers,5,7,0,220.8,120.5,23.3,26.7,3.83,1.08,2.66,0.16,1.58
Green Bay Packers,9,3,0,238.6,101.4,24.1,21.3,2.33,1,2.91,0,1.16
Arizona Cardinals,3,8,1,217.7,114.1,21.3,29.3,2.5,0.5,2.08,0,2.16
Tennessee Titans,7,5,0,204.3,125.4,23,19.5,2.75,0.91,3,0.08,0.66
New York Giants,2,10,0,221.2,95.5,19.2,28.3,2.16,0.83,2.41,0,0.83
Cincinnati Bengals,1,11,0,223,78,14.9,24.8,1.66,0.41,1.5,0.08,1.41
Denver Broncos,4,8,0,187.4,108.3,16.5,19.8,2.33,0.58,1.58,0,1.83
Pittsburg Steelers,7,5,0,200.5,90.8,19.7,18.8,3.58,1.25,2,0,1.91
Chicago Bears,6,6,0,202.4,79.3,17.7,17.3,2.33,0.66,2,0,1.25
Miami Dolphins,3,9,0,214.2,62.8,16.7,31.4,1.33,0.66,2,0.08,0.91
New York Jets,4,8,0,190.3,72.6,17,23.3,2.25,0.58,2,0.16,0.91
Washington Redskins,3,9,0,163,99.4,14.4,24.2,3,1.08,1.41,0,1.58
